codepoint,character
32, 
33,!
34,"\"""
35,#
36,$
37,%
38,&
39,'
40,(
41,)
42,*
43,+
44,","
45,-
46,.
47,/
48,0
49,1
50,2
51,3
52,4
53,5
54,6
55,7
56,8
57,9
58,:
59,;
60,<
61,=
62,>
63,?
64,@
65,A
66,B
67,C
68,D
69,E
70,F
71,G
72,H
73,I
74,J
75,K
76,L
77,M
78,N
79,O
80,P
81,Q
82,R
83,S
84,T
85,U
86,V
87,W
88,X
89,Y
90,Z
91,[
92,¥
93,]
94,^
95,_
96,`
97,a
98,b
99,c
100,d
101,e
102,f
103,g
104,h
105,i
106,j
107,k
108,l
109,m
110,n
111,o
112,p
113,q
114,r
115,s
116,t
117,u
118,v
119,w
120,x
121,y
122,z
123,{
124,|
125,}
126,~
127,\
128,�
129,�
130,�
131,�
132,�
133,�
134,を
135,ぁ
136,ぃ
137,ぅ
138,ぇ
139,ぉ
140,ゃ
141,ゅ
142,ょ
143,っ
144,ー
145,あ
146,い
147,う
148,え
149,お
150,か
151,き
152,く
153,け
154,こ
155,さ
156,し
157,す
158,せ
159,そ
160,�
161,。
162,「
163,」
164,、
165,・
166,ヲ
167,ァ
168,ィ
169,ゥ
170,ェ
171,ォ
172,ャ
173,ュ
174,ョ
175,ッ
176,ー
177,ア
178,イ
179,ウ
180,エ
181,オ
182,カ
183,キ
184,ク
185,ケ
186,コ
187,サ
188,シ
189,ス
190,セ
191,ソ
192,タ
193,チ
194,ツ
195,テ
196,ト
197,ナ
198,ニ
199,ヌ
200,ネ
201,ノ
202,ハ
203,ヒ
204,フ
205,ヘ
206,ホ
207,マ
208,ミ
209,ム
210,メ
211,モ
212,ヤ
213,ユ
214,ヨ
215,ラ
216,リ
217,ル
218,レ
219,ロ
220,ワ
221,ン
222,゛
223,゜
224,た
225,ち
226,つ
227,て
228,と
229,な
230,に
231,ぬ
232,ね
233,の
234,は
235,ひ
236,ふ
237,へ
238,ほ
239,ま
240,み
241,む
242,め
243,も
244,や
245,ゆ
246,よ
247,ら
248,り
249,る
250,れ
251,ろ
252,わ
253,ん
254,�
255,�
